"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "XML", "CSS", "comment", "blank", "total"
"d:\ScheduleIt\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\ScheduleIt\app.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 8, 24
"d:\ScheduleIt\client\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 33, 71
"d:\ScheduleIt\client\package-lock.json", "JSON", 0, 17270, 0, 0, 0, 0, 0, 1, 17271
"d:\ScheduleIt\client\package.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 1, 41
"d:\ScheduleIt\client\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 23, 1, 44
"d:\ScheduleIt\client\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"d:\ScheduleIt\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 258, 1, 46, 305
"d:\ScheduleIt\client\src\App.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 13, 31
"d:\ScheduleIt\client\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\ScheduleIt\client\src\components\LandingPage.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 10, 39
"d:\ScheduleIt\client\src\components\Requests.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 9, 43
"d:\ScheduleIt\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 4, 16
"d:\ScheduleIt\client\src\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 3, 3, 18
"d:\ScheduleIt\client\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\ScheduleIt\client\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\ScheduleIt\client\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 4, 1, 6
"d:\ScheduleIt\config\db.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 3, 19
"d:\ScheduleIt\config\default.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\ScheduleIt\controllers\auth.js", "JavaScript", 0, 0, 120, 0, 0, 0, 0, 1, 121
"d:\ScheduleIt\models\Room.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 3, 19
"d:\ScheduleIt\models\User.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\ScheduleIt\package-lock.json", "JSON", 0, 1889, 0, 0, 0, 0, 0, 1, 1890
"d:\ScheduleIt\package.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 1, 27
"d:\ScheduleIt\routes\api\rooms.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 4, 14
"d:\ScheduleIt\routes\auth.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\ScheduleIt\utils\auth.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 11
"Total", "-", 39, 19254, 328, 20, 1, 270, 31, 148, 20091